iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
0,0,10.9858,10.9899,59271.53,0.000001,,-100.00,,,,,,
0,65536,10.9819,,,0.000001,10717,-100.00,0.0000,,,,,
0,65536,,,,,,,,0.4623,2.35594,2.04260,5.2216,
10,720896,10.4403,,,0.000007,55704,5.90,0.0000,,,,,
20,1376256,9.8700,,,0.000013,55840,5.91,0.0000,,,,,
30,2031616,9.5861,,,0.000019,55704,5.91,0.0000,,,,,
40,2686976,9.4084,,,0.000025,55630,5.90,0.0000,,,,,
50,3342336,9.0341,,,0.000031,55867,5.91,0.0000,,,,,
60,3997696,8.8041,,,0.000037,55936,5.91,0.0000,,,,,
70,4653056,8.4654,,,0.000043,55627,5.91,0.0000,,,,,
80,5308416,8.1391,,,0.000049,55804,5.91,0.0000,,,,,
90,5963776,7.9721,,,0.000054,55871,5.91,0.0000,,,,,
100,6619136,7.7433,,,0.000060,55650,5.91,0.0000,,,,,
110,7274496,7.4290,,,0.000066,55715,5.91,0.0000,,,,,
120,7929856,7.5110,,,0.000072,56024,5.91,0.0000,,,,,
130,8585216,7.2317,,,0.000078,55855,5.91,0.0000,,,,,
140,9240576,7.2725,,,0.000084,55871,5.91,0.0000,,,,,
150,9895936,7.0374,,,0.000090,55741,5.91,0.0000,,,,,
160,10551296,6.9591,,,0.000096,55943,5.91,0.0000,,,,,
170,11206656,6.9683,,,0.000102,55705,5.91,0.0000,,,,,
180,11862016,6.9159,,,0.000108,55616,5.91,0.0000,,,,,
190,12517376,6.8735,,,0.000114,55768,5.91,0.0000,,,,,
200,13172736,6.8027,,,0.000120,55957,5.91,0.0000,,,,,
210,13828096,6.7075,,,0.000126,55483,5.91,0.0000,,,,,
220,14483456,6.7405,,,0.000132,55794,5.91,0.0000,,,,,
230,15138816,6.6188,,,0.000138,55849,5.91,0.0000,,,,,
240,15794176,6.5112,,,0.000144,55697,5.91,0.0000,,,,,
250,16449536,6.7697,,,0.000150,55738,5.91,0.0000,,,,,
260,17104896,6.4635,,,0.000156,55619,5.91,0.0000,,,,,
270,17760256,6.4325,,,0.000162,55655,5.91,0.0000,,,,,
280,18415616,6.4941,,,0.000168,55633,5.91,0.0000,,,,,
290,19070976,6.4002,,,0.000174,55725,5.91,0.0000,,,,,
300,19726336,6.3710,,,0.000180,55762,5.91,0.0000,,,,,
310,20381696,6.3550,,,0.000186,55808,5.91,0.0000,,,,,
320,21037056,6.1990,,,0.000192,55838,5.91,0.0000,,,,,
330,21692416,6.2009,,,0.000198,56868,5.92,0.0000,,,,,
340,22347776,6.0590,,,0.000204,55716,5.92,0.0000,,,,,
350,23003136,6.4238,,,0.000210,55730,5.92,0.0000,,,,,
360,23658496,6.3021,,,0.000216,55831,5.92,0.0000,,,,,
