iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
0,0,11.0261,11.0302,61710.98,0.000001,,-100.00,,,,,,
0,65536,11.0408,,,0.000001,3006,-100.00,0.0000,,,,,
10,720896,10.3986,,,0.000007,86633,20.71,0.0000,,,,,
20,1376256,9.7911,,,0.000013,87213,20.73,0.0000,,,,,
30,2031616,9.5494,,,0.000019,87123,20.74,0.0000,,,,,
40,2686976,9.3412,,,0.000025,87058,20.75,0.0000,,,,,
50,3342336,8.9781,,,0.000031,87520,20.76,0.0000,,,,,
60,3997696,8.6677,,,0.000037,87023,20.77,0.0000,,,,,
70,4653056,8.5235,,,0.000043,87393,20.78,0.0000,,,,,
80,5308416,8.1527,,,0.000049,87058,20.79,0.0000,,,,,
90,5963776,7.7662,,,0.000054,87045,20.79,0.0000,,,,,
100,6619136,7.7542,,,0.000060,87501,20.80,0.0000,,,,,
110,7274496,7.5417,,,0.000066,87215,20.81,0.0000,,,,,
120,7929856,7.3560,,,0.000072,87357,20.81,0.0000,,,,,
130,8585216,7.1277,,,0.000078,87116,20.82,0.0000,,,,,
140,9240576,7.0058,,,0.000084,87090,20.82,0.0000,,,,,
150,9895936,6.9899,,,0.000090,87170,20.82,0.0000,,,,,
160,10551296,6.9245,,,0.000096,86827,20.81,0.0000,,,,,
170,11206656,6.8893,,,0.000102,87156,20.82,0.0000,,,,,
180,11862016,6.7167,,,0.000108,87021,20.82,0.0000,,,,,
190,12517376,6.5957,,,0.000114,87302,20.82,0.0000,,,,,
200,13172736,6.8169,,,0.000120,87181,20.82,0.0000,,,,,
210,13828096,6.6695,,,0.000126,87336,20.83,0.0000,,,,,
220,14483456,6.5299,,,0.000132,87040,20.83,0.0000,,,,,
230,15138816,6.6735,,,0.000138,86928,20.82,0.0000,,,,,
240,15794176,6.3574,,,0.000144,87074,20.82,0.0000,,,,,
250,16449536,6.2845,,,0.000150,87385,20.83,0.0000,,,,,
260,17104896,6.4213,,,0.000156,87073,20.83,0.0000,,,,,
270,17760256,6.3018,,,0.000162,87361,20.84,0.0000,,,,,
280,18415616,6.2762,,,0.000168,87118,20.84,0.0000,,,,,
290,19070976,6.2711,,,0.000174,87030,20.83,0.0000,,,,,
300,19726336,6.2946,,,0.000180,87482,20.84,0.0000,,,,,
310,20381696,6.2129,,,0.000186,86834,20.83,0.0000,,,,,
320,21037056,6.2428,,,0.000192,87119,20.83,0.0000,,,,,
330,21692416,6.2191,,,0.000198,87082,20.83,0.0000,,,,,
340,22347776,6.0667,,,0.000204,87017,20.83,0.0000,,,,,
350,23003136,6.1009,,,0.000210,87423,20.84,0.0000,,,,,
360,23658496,5.9674,,,0.000216,86834,20.83,0.0000,,,,,
370,24313856,6.0976,,,0.000222,87040,20.83,0.0000,,,,,
380,24969216,5.9940,,,0.000228,87241,20.83,0.0000,,,,,
390,25624576,5.9409,,,0.000234,87086,20.83,0.0000,,,,,
400,26279936,5.8422,,,0.000240,87329,20.84,0.0000,,,,,
410,26935296,5.7745,,,0.000246,87043,20.83,0.0000,,,,,
420,27590656,6.0274,,,0.000252,87320,20.84,0.0000,,,,,
430,28246016,5.7346,,,0.000258,87122,20.84,0.0000,,,,,
440,28901376,5.7616,,,0.000264,87117,20.84,0.0000,,,,,
450,29556736,5.7978,,,0.000270,87155,20.84,0.0000,,,,,
460,30212096,5.8467,,,0.000276,87332,20.84,0.0000,,,,,
470,30867456,5.8197,,,0.000282,87261,20.84,0.0000,,,,,
480,31522816,5.8566,,,0.000288,87352,20.85,0.0000,,,,,
490,32178176,5.5850,,,0.000294,86794,20.84,0.0000,,,,,
500,32768000,5.6895,5.7777,323.02,0.000300,,20.84,,,,,,
500,32833536,5.6163,,,0.000300,7913,18.94,0.0000,,,,,
510,33488896,5.6499,,,0.000300,87393,19.14,0.0000,,,,,
520,34144256,5.7033,,,0.000300,87190,19.31,0.0000,,,,,
530,34799616,5.6804,,,0.000300,87297,19.47,0.0000,,,,,
540,35454976,5.6900,,,0.000300,86938,19.60,0.0000,,,,,
550,36110336,5.7527,,,0.000300,87399,19.73,0.0000,,,,,
560,36765696,5.4880,,,0.000300,87149,19.84,0.0000,,,,,
570,37421056,5.3684,,,0.000300,87022,19.94,0.0000,,,,,
580,38076416,5.5406,,,0.000300,87441,20.03,0.0000,,,,,
590,38731776,5.6236,,,0.000300,87125,20.11,0.0000,,,,,
600,39387136,5.4997,,,0.000300,87260,20.19,0.0000,,,,,
610,40042496,5.5484,,,0.000300,87045,20.25,0.0000,,,,,
620,40697856,5.3601,,,0.000300,87026,20.31,0.0000,,,,,
630,41353216,5.4167,,,0.000300,87305,20.36,0.0000,,,,,
640,42008576,5.3730,,,0.000300,87017,20.41,0.0000,,,,,
650,42663936,5.1529,,,0.000300,87238,20.45,0.0000,,,,,
660,43319296,5.3869,,,0.000300,87117,20.49,0.0000,,,,,
670,43974656,5.3187,,,0.000300,87064,20.52,0.0000,,,,,
680,44630016,5.4917,,,0.000300,87228,20.56,0.0000,,,,,
