iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
0,0,10.8531,10.8526,51666.55,0.000001,,-100.00,,,,,,
0,16384,10.8471,,,0.000001,1498,-100.00,0.0000,,,,,
0,16384,,,,,,,,0.1074,0.54148,0.51541,4.5552,
10,180224,10.6505,,,0.000016,116217,3.23,0.0000,,,,,
20,344064,10.3107,,,0.000031,115918,3.23,0.0000,,,,,
30,507904,10.0368,,,0.000046,114850,3.22,0.0000,,,,,
40,671744,9.7795,,,0.000061,114851,3.22,0.0000,,,,,
50,835584,9.4784,,,0.000076,116924,3.22,0.0000,,,,,
60,999424,9.0996,,,0.000091,120906,3.24,0.0000,,,,,
70,1163264,8.7157,,,0.000106,120084,3.25,0.0000,,,,,
80,1327104,8.2781,,,0.000121,119163,3.25,0.0000,,,,,
90,1490944,7.8102,,,0.000136,120487,3.26,0.0000,,,,,
100,1654784,7.3750,,,0.000151,158443,3.38,0.0000,,,,,
110,1818624,6.9363,,,0.000166,115044,3.36,0.0000,,,,,
120,1982464,6.5493,,,0.000181,114991,3.34,0.0000,,,,,
130,2146304,6.2140,,,0.000196,113888,3.32,0.0000,,,,,
140,2310144,5.8617,,,0.000210,114133,3.31,0.0000,,,,,
150,2473984,5.6727,,,0.000225,115067,3.30,0.0000,,,,,
160,2637824,5.4410,,,0.000240,115025,3.29,0.0000,,,,,
170,2801664,5.1490,,,0.000255,114865,3.28,0.0000,,,,,
180,2965504,5.0021,,,0.000270,115487,3.27,0.0000,,,,,
190,3129344,4.8729,,,0.000285,115367,3.26,0.0000,,,,,
200,3293184,4.7596,,,0.000300,116334,3.26,0.0000,,,,,
210,3457024,4.5836,,,0.000300,116074,3.26,0.0000,,,,,
220,3620864,4.4700,,,0.000300,116120,3.25,0.0000,,,,,
230,3784704,4.3527,,,0.000300,114883,3.25,0.0000,,,,,
240,3948544,4.3273,,,0.000300,115248,3.24,0.0000,,,,,
250,4112384,4.2110,,,0.000300,116514,3.24,0.0000,,,,,
260,4276224,4.2164,,,0.000300,116039,3.24,0.0000,,,,,
270,4440064,4.1106,,,0.000300,116057,3.24,0.0000,,,,,
280,4603904,4.1195,,,0.000300,116732,3.24,0.0000,,,,,
290,4767744,4.0755,,,0.000300,117236,3.24,0.0000,,,,,
300,4931584,4.1200,,,0.000300,116285,3.24,0.0000,,,,,
310,5095424,3.9915,,,0.000300,116022,3.24,0.0000,,,,,
320,5259264,4.0672,,,0.000300,114728,3.23,0.0000,,,,,
330,5423104,3.9623,,,0.000300,115160,3.23,0.0000,,,,,
340,5586944,3.9721,,,0.000300,115143,3.23,0.0000,,,,,
350,5750784,3.9333,,,0.000300,116418,3.23,0.0000,,,,,
360,5914624,3.8707,,,0.000300,115792,3.23,0.0000,,,,,
370,6078464,3.9163,,,0.000300,118971,3.23,0.0000,,,,,
380,6242304,3.8195,,,0.000300,118808,3.24,0.0000,,,,,
390,6406144,3.7789,,,0.000300,120585,3.25,0.0000,,,,,
400,6569984,3.7650,,,0.000300,122103,3.26,0.0000,,,,,
410,6733824,3.7247,,,0.000300,118245,3.27,0.0000,,,,,
420,6897664,3.7424,,,0.000300,116005,3.26,0.0000,,,,,
430,7061504,3.6978,,,0.000300,114900,3.25,0.0000,,,,,
440,7225344,3.7066,,,0.000300,114927,3.25,0.0000,,,,,
450,7389184,3.5901,,,0.000300,115178,3.24,0.0000,,,,,
460,7553024,3.7271,,,0.000300,115311,3.24,0.0000,,,,,
470,7716864,3.6304,,,0.000300,115420,3.24,0.0000,,,,,
480,7880704,3.6004,,,0.000300,115145,3.23,0.0000,,,,,
490,8044544,3.5920,,,0.000300,115690,3.23,0.0000,,,,,
500,8192000,3.5583,3.5598,35.16,0.000300,,3.23,,,,,,
500,8208384,3.5316,,,0.000300,1303,2.91,0.0000,,,,,
500,8208384,,,,,,,,0.1879,1.04487,0.90986,3.7638,
510,8372224,3.4911,,,0.000300,115315,2.94,0.0000,,,,,
520,8536064,3.4092,,,0.000300,115477,2.97,0.0000,,,,,
530,8699904,3.4232,,,0.000300,115304,2.99,0.0000,,,,,
540,8863744,3.5308,,,0.000300,115269,3.01,0.0000,,,,,
550,9027584,3.4099,,,0.000300,114838,3.03,0.0000,,,,,
560,9191424,3.4199,,,0.000300,115018,3.05,0.0000,,,,,
570,9355264,3.3967,,,0.000300,114654,3.06,0.0000,,,,,
580,9519104,3.4536,,,0.000300,120066,3.09,0.0000,,,,,
590,9682944,3.3554,,,0.000300,120589,3.11,0.0000,,,,,
600,9846784,3.3781,,,0.000300,120460,3.14,0.0000,,,,,
610,10010624,3.3036,,,0.000300,122101,3.16,0.0000,,,,,
620,10174464,3.3975,,,0.000300,135799,3.22,0.0000,,,,,
630,10338304,3.3692,,,0.000300,115239,3.22,0.0000,,,,,
640,10502144,3.3857,,,0.000300,115328,3.22,0.0000,,,,,
650,10665984,3.2423,,,0.000300,115332,3.22,0.0000,,,,,
660,10829824,3.2880,,,0.000300,115284,3.22,0.0000,,,,,
670,10993664,3.2340,,,0.000300,115456,3.21,0.0000,,,,,
680,11157504,3.2934,,,0.000300,115565,3.21,0.0000,,,,,
690,11321344,3.2659,,,0.000300,115315,3.21,0.0000,,,,,
700,11485184,3.2401,,,0.000300,115518,3.21,0.0000,,,,,
710,11649024,3.2094,,,0.000300,117145,3.22,0.0000,,,,,
720,11812864,3.1837,,,0.000300,117842,3.22,0.0000,,,,,
730,11976704,3.1606,,,0.000300,115311,3.22,0.0000,,,,,
740,12140544,3.2130,,,0.000300,115395,3.22,0.0000,,,,,
750,12304384,3.1435,,,0.000299,115244,3.22,0.0000,,,,,
760,12468224,3.2375,,,0.000299,115135,3.21,0.0000,,,,,
770,12632064,3.1502,,,0.000299,114702,3.21,0.0000,,,,,
780,12795904,3.1758,,,0.000299,116351,3.21,0.0000,,,,,
790,12959744,3.0703,,,0.000299,116158,3.21,0.0000,,,,,
800,13123584,3.2536,,,0.000299,116425,3.22,0.0000,,,,,
810,13287424,3.1188,,,0.000299,118231,3.22,0.0000,,,,,
820,13451264,3.1124,,,0.000299,116715,3.22,0.0000,,,,,
830,13615104,3.0662,,,0.000299,115021,3.22,0.0000,,,,,
840,13778944,3.1094,,,0.000299,115093,3.22,0.0000,,,,,
850,13942784,3.1594,,,0.000299,115222,3.22,0.0000,,,,,
860,14106624,3.0330,,,0.000299,115438,3.22,0.0000,,,,,
870,14270464,3.1362,,,0.000299,115322,3.21,0.0000,,,,,
880,14434304,2.9793,,,0.000299,115586,3.21,0.0000,,,,,
890,14598144,3.2220,,,0.000299,119572,3.22,0.0000,,,,,
900,14761984,3.0226,,,0.000299,121092,3.24,0.0000,,,,,
910,14925824,3.0157,,,0.000299,119499,3.25,0.0000,,,,,
920,15089664,3.0112,,,0.000299,119315,3.25,0.0000,,,,,
930,15253504,2.9825,,,0.000299,117151,3.25,0.0000,,,,,
940,15417344,2.9428,,,0.000299,117224,3.25,0.0000,,,,,
950,15581184,2.9444,,,0.000299,115401,3.25,0.0000,,,,,
960,15745024,3.0260,,,0.000299,115104,3.24,0.0000,,,,,
970,15908864,3.0360,,,0.000299,115057,3.24,0.0000,,,,,
980,16072704,2.9716,,,0.000299,114707,3.23,0.0000,,,,,
990,16236544,2.9825,,,0.000299,116128,3.23,0.0000,,,,,
1000,16384000,2.9870,2.9973,20.03,0.000299,,3.23,,,,,,
1000,16400384,2.9821,,,0.000299,1744,2.91,0.0000,,,,,
1000,16400384,,,,,,,,0.1628,1.03474,0.91466,3.3081,
1010,16564224,2.9882,,,0.000299,174709,3.11,0.0000,,,,,
1020,16728064,2.8999,,,0.000299,178945,3.29,0.0000,,,,,
1030,16891904,2.9828,,,0.000299,178475,3.46,0.0000,,,,,
1040,17055744,2.9564,,,0.000299,174706,3.60,0.0000,,,,,
1050,17219584,2.9231,,,0.000299,174726,3.72,0.0000,,,,,
1060,17383424,2.9241,,,0.000299,174622,3.84,0.0000,,,,,
1070,17547264,2.9415,,,0.000299,174852,3.94,0.0000,,,,,
1080,17711104,2.9813,,,0.000299,174709,4.03,0.0000,,,,,
