iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
0,0,10.8504,10.8500,51535.06,0.000001,,-100.00,,,,,,
0,16384,10.8443,,,0.000001,269,-100.00,0.0000,,,,,10.8100|10.8281|10.8379|10.8428|10.8451|10.8471
10,180224,10.6673,,,0.000016,24789,0.69,0.0000,,,,,10.7881|10.7513|10.7128|10.6839|10.6638|10.6502
20,344064,10.3300,,,0.000031,23831,0.69,0.0000,,,,,10.6676|10.4725|10.3751|10.3359|10.3180|10.3094
30,507904,10.0505,,,0.000046,23430,0.68,0.0000,,,,,10.4336|10.1268|10.0635|10.0461|10.0403|10.0383
40,671744,9.7976,,,0.000061,23386,0.68,0.0000,,,,,10.1500|9.8465|9.8038|9.7922|9.7887|9.7885
50,835584,9.4978,,,0.000076,23440,0.68,0.0000,,,,,9.8564|9.5512|9.5066|9.4926|9.4882|9.4882
60,999424,9.1198,,,0.000091,23438,0.67,0.0000,,,,,9.4624|9.1757|9.1287|9.1135|9.1096|9.1111
70,1163264,8.7388,,,0.000106,24306,0.67,0.0000,,,,,9.0544|8.7962|8.7484|8.7328|8.7289|8.7305
80,1327104,8.2944,,,0.000121,23479,0.67,0.0000,,,,,8.6202|8.3578|8.3070|8.2899|8.2846|8.2847
90,1490944,7.8275,,,0.000136,23527,0.67,0.0000,,,,,8.1554|7.8951|7.8420|7.8229|7.8172|7.8176
100,1654784,7.3968,,,0.000151,23483,0.67,0.0000,,,,,7.7023|7.4539|7.4056|7.3900|7.3867|7.3893
110,1818624,6.9705,,,0.000166,23430,0.67,0.0000,,,,,7.2710|7.0272|6.9796|6.9640|6.9605|6.9630
120,1982464,6.5893,,,0.000181,23531,0.66,0.0000,,,,,6.8903|6.6485|6.6017|6.5855|6.5801|6.5801
130,2146304,6.2610,,,0.000196,23875,0.66,0.0000,,,,,6.5595|6.3168|6.2706|6.2553|6.2515|6.2531
140,2310144,5.9302,,,0.000210,24318,0.67,0.0000,,,,,6.2318|5.9811|5.9308|5.9164|5.9175|5.9273
