iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
0,0,10.8646,10.8659,52357.95,0.000001,,-100.00,,,,,,
0,16384,10.8610,,,0.000001,1080,-100.00,0.0000,,,,,
10,180224,10.6102,,,0.000016,260799,8.89,0.0000,,,,,
20,344064,10.2834,,,0.000031,351086,9.19,0.0000,,,,,
30,507904,10.0638,,,0.000046,354000,9.48,0.0000,,,,,
40,671744,9.8052,,,0.000061,328429,9.65,0.0000,,,,,
50,835584,9.5038,,,0.000076,266494,9.59,0.0000,,,,,
60,999424,9.1206,,,0.000091,267696,9.55,0.0000,,,,,
70,1163264,8.7410,,,0.000106,355566,9.80,0.0000,,,,,
80,1327104,8.2729,,,0.000121,355477,10.04,0.0000,,,,,
90,1490944,7.8244,,,0.000136,772824,11.67,0.0000,,,,,
100,1654784,7.3395,,,0.000151,773171,13.13,0.0000,,,,,
110,1818624,6.8777,,,0.000166,773520,14.46,0.0000,,,,,
120,1982464,6.4569,,,0.000181,896758,16.07,0.0000,,,,,
130,2146304,6.0479,,,0.000196,772728,17.09,0.0000,,,,,
140,2310144,5.7325,,,0.000210,774252,18.02,0.0000,,,,,
150,2473984,5.4284,,,0.000225,772467,18.85,0.0000,,,,,
160,2637824,5.2247,,,0.000240,773215,19.60,0.0000,,,,,
170,2801664,4.9987,,,0.000255,680095,19.96,0.0000,,,,,
180,2965504,4.8321,,,0.000270,772815,20.60,0.0000,,,,,
190,3129344,4.6831,,,0.000285,773459,21.17,0.0000,,,,,
200,3293184,4.5470,,,0.000300,772806,21.69,0.0000,,,,,
210,3457024,4.4510,,,0.000300,774016,22.16,0.0000,,,,,
220,3620864,4.3931,,,0.000300,773398,22.58,0.0000,,,,,
230,3784704,4.3053,,,0.000300,773041,22.95,0.0000,,,,,
240,3948544,4.1327,,,0.000300,772997,23.29,0.0000,,,,,
250,4112384,4.1834,,,0.000300,772919,23.60,0.0000,,,,,
260,4276224,4.1353,,,0.000300,773293,23.87,0.0000,,,,,
270,4440064,4.0520,,,0.000300,773398,24.12,0.0000,,,,,
280,4603904,3.9923,,,0.000300,773755,24.34,0.0000,,,,,
290,4767744,3.9902,,,0.000300,772546,24.54,0.0000,,,,,
300,4931584,3.8432,,,0.000300,771955,24.72,0.0000,,,,,
310,5095424,3.9154,,,0.000300,427916,23.70,0.0000,,,,,
320,5259264,3.8001,,,0.000300,772771,23.97,0.0000,,,,,
330,5423104,3.6782,,,0.000300,773920,24.21,0.0000,,,,,
340,5586944,3.6926,,,0.000300,773119,24.42,0.0000,,,,,
350,5750784,3.7487,,,0.000300,773267,24.61,0.0000,,,,,
360,5914624,3.7239,,,0.000300,774679,24.79,0.0000,,,,,
370,6078464,3.6153,,,0.000300,773903,24.95,0.0000,,,,,
380,6242304,3.5857,,,0.000300,772493,25.09,0.0000,,,,,
390,6406144,3.6054,,,0.000300,773354,25.21,0.0000,,,,,
400,6569984,3.6168,,,0.000300,773729,25.33,0.0000,,,,,
410,6733824,3.5629,,,0.000300,772537,25.43,0.0000,,,,,
420,6897664,3.5664,,,0.000300,773345,25.52,0.0000,,,,,
430,7061504,3.4911,,,0.000300,772963,25.60,0.0000,,,,,
440,7225344,3.4755,,,0.000300,772546,25.67,0.0000,,,,,
450,7389184,3.5109,,,0.000300,773015,25.74,0.0000,,,,,
460,7553024,3.4055,,,0.000300,772937,25.80,0.0000,,,,,
470,7716864,3.3406,,,0.000300,677006,25.53,0.0000,,,,,
480,7880704,3.2594,,,0.000300,773842,25.61,0.0000,,,,,
490,8044544,3.2961,,,0.000300,344771,24.23,0.0000,,,,,
500,8192000,3.3321,3.3308,27.96,0.000300,,24.23,,,,,,
500,8208384,3.3895,,,0.000300,4507,21.82,0.0000,,,,,
